Code	Concentration	Groupes	Date	Statut	Replicats	SousGroupe
5	5	2	13	1	3	Y
6	5	2	15	1	3	Y
7	5	2	20	1	3	Y
8	5	2	20	1	3	Y
9	5	2	22	1	3	Y
10	5	2	24	1	3	Y
1	5	3	4	1	3	Y
2	5	3	8	1	3	Y
3	5	3	8	1	3	Y
4	5	3	10	1	3	Y
5	5	3	13	1	3	Y
6	5	3	15	1	3	Y
7	5	3	15	1	3	Y
8	5	3	20	1	3	Y
9	5	3	22	1	3	Y
10	5	3	24	1	3	Y
1	5	4	2	1	3	Y
2	5	4	3	1	3	Y
3	5	4	4	1	3	Y
4	5	4	5	1	3	Y
5	5	4	8	1	3	Y
6	5	4	8	1	3	Y
7	5	4	13	1	3	Y
8	5	4	22	1	3	Y
9	5	4	24	1	3	Y
10	5	4	24	1	3	Y
